Año;Periodo;Agua embalsada
1998;Semana 50;29.497
1998;Semana 51;29.471
1998;Semana 52;29.461
1999;Semana 1;29.769
1999;Semana 2;30.021
1999;Semana 3;30.221
1999;Semana 4;30.653
1999;Semana 5;30.924
1999;Semana 6;31.025
1999;Semana 7;31.074
1999;Semana 8;31.159
1999;Semana 9;31.745
1999;Semana 10;32.106
1999;Semana 11;32.544
1999;Semana 12;32.785
1999;Semana 13;32.818
1999;Semana 14;32.999
1999;Semana 15;32.947
1999;Semana 16;32.587
1999;Semana 17;32.586
1999;Semana 18;32.758
1999;Semana 19;33.215
1999;Semana 20;33.239
1999;Semana 21;33.647
1999;Semana 22;33.279
1999;Semana 23;32.781
1999;Semana 24;31.993
1999;Semana 25;31.462
1999;Semana 26;30.601
1999;Semana 27;29.688
1999;Semana 28;28.843
1999;Semana 29;28.074
1999;Semana 30;27.244
1999;Semana 31;26.525
1999;Semana 32;26.014
1999;Semana 33;25.395
1999;Semana 34;24.753
1999;Semana 35;24.104
1999;Semana 36;23.458
1999;Semana 37;23.258
1999;Semana 38;23.011
1999;Semana 39;23.451
1999;Semana 40;23.398
1999;Semana 41;23.194
1999;Semana 42;23.086
1999;Semana 43;24.972
1999;Semana 44;26.534
1999;Semana 45;26.893
1999;Semana 46;26.889
1999;Semana 47;27.023
1999;Semana 48;26.793
1999;Semana 49;26.610
1999;Semana 50;26.527
1999;Semana 51;27.021
1999;Semana 52;27.242
2000;Semana 1;27.726
2000;Semana 2;27.734
2000;Semana 3;27.643
2000;Semana 4;27.532
2000;Semana 5;27.346
2000;Semana 6;27.342
2000;Semana 7;27.455
2000;Semana 8;27.623
2000;Semana 9;27.681
2000;Semana 10;27.518
2000;Semana 11;27.351
2000;Semana 12;27.205
2000;Semana 13;26.976
2000;Semana 14;27.004
2000;Semana 15;27.617
2000;Semana 16;29.186
2000;Semana 17;31.384
2000;Semana 18;32.537
2000;Semana 19;33.375
2000;Semana 20;34.105
2000;Semana 21;34.631
2000;Semana 22;34.639
2000;Semana 23;34.499
2000;Semana 24;34.410
2000;Semana 25;34.071
2000;Semana 26;33.441
2000;Semana 27;32.655
2000;Semana 28;31.954
2000;Semana 29;31.220
2000;Semana 30;30.460
2000;Semana 31;29.634
2000;Semana 32;28.849
2000;Semana 33;28.075
2000;Semana 34;27.315
2000;Semana 35;26.555
2000;Semana 36;25.705
2000;Semana 37;24.778
2000;Semana 38;23.914
2000;Semana 39;23.336
2000;Semana 40;22.813
2000;Semana 41;22.349
2000;Semana 42;22.136
2000;Semana 43;22.083
2000;Semana 44;22.318
2000;Semana 45;22.708
2000;Semana 46;23.480
2000;Semana 47;23.719
2000;Semana 48;24.840
2000;Semana 49;26.084
